sentence,skill,label
"Deep expertise in SQL, including advanced patterns and internals.",SQL,Expert
Worked with AWS for several months on a team project.,AWS,Intermediate
Contributed to a project using Node.js during an internship.,Node.js,Intermediate
Have read the documentation for C++ but limited practical use.,C++,Beginner
Extensive production experience with Flask at scale.,Flask,Expert
Regularly use GraphQL for day-to-day development tasks.,GraphQL,Intermediate
Five years of professional experience with Next.js.,Next.js,Expert
"Deep expertise in Go, including advanced patterns and internals.",Go,Expert
Have read the documentation for PostgreSQL but limited practical use.,PostgreSQL,Beginner
Five years of professional experience with Deep Learning.,Deep Learning,Expert
Regularly use SQL for day-to-day development tasks.,SQL,Intermediate
Built and maintained mission-critical infrastructure with Django.,Django,Expert
Some hands-on experience with SQL in small assignments.,SQL,Beginner
Recognized internally as the go-to expert on Flask.,Flask,Expert
Used Redis extensively during a semester-long project.,Redis,Intermediate
Architected scalable solutions using TypeScript for enterprise clients.,TypeScript,Expert
Designed the core architecture of a large-scale Python application.,Python,Expert
Some hands-on experience with PyTorch in small assignments.,PyTorch,Beginner
Used Git to build a personal project.,Git,Intermediate
Developed features using JavaScript in a small team.,JavaScript,Intermediate
Currently learning GraphQL as part of a bootcamp.,GraphQL,Beginner
Some hands-on experience with Kubernetes in small assignments.,Kubernetes,Beginner
Basic understanding of Python.,Python,Beginner
Comfortable writing JavaScript code for medium-sized applications.,JavaScript,Intermediate
Started exploring GraphQL recently.,GraphQL,Beginner
Currently learning JavaScript as part of a bootcamp.,JavaScript,Beginner
Published technical talks on advanced MongoDB techniques.,MongoDB,Expert
Applied Docker to solve practical problems in coursework.,Docker,Intermediate
Basic understanding of GraphQL.,GraphQL,Beginner
Only used GraphQL in a couple of homework assignments.,GraphQL,Beginner
Some hands-on experience with JavaScript in small assignments.,JavaScript,Beginner
Drove major performance improvements in a Java-based system.,Java,Expert
Optimized performance-critical systems built with Flask.,Flask,Expert
Developed features using CI/CD in a small team.,CI/CD,Intermediate
Extensive production experience with MongoDB at scale.,MongoDB,Expert
Built a full application using Kubernetes.,Kubernetes,Intermediate
Drove major performance improvements in a AWS-based system.,AWS,Expert
Drove major performance improvements in a Kubernetes-based system.,Kubernetes,Expert
Two years of hands-on experience with Next.js.,Next.js,Intermediate
Completed an introductory course in REST API.,REST API,Beginner
Currently learning C++ as part of a bootcamp.,C++,Beginner
Trained the engineering team on advanced Redis concepts.,Redis,Expert
Developed features using React in a small team.,React,Intermediate
Trained the engineering team on advanced Node.js concepts.,Node.js,Expert
Extensive production experience with Go at scale.,Go,Expert
Used Java to build a personal project.,Java,Intermediate
Recognized internally as the go-to expert on PostgreSQL.,PostgreSQL,Expert
Solid working knowledge of Node.js from an internship.,Node.js,Intermediate
Took an online tutorial on Linux.,Linux,Beginner
Two years of hands-on experience with JavaScript.,JavaScript,Intermediate
Extensive production experience with Kubernetes at scale.,Kubernetes,Expert
Built a full application using AWS.,AWS,Intermediate
Basic understanding of Kubernetes.,Kubernetes,Beginner
Extensive production experience with JavaScript at scale.,JavaScript,Expert
Beginner-level knowledge of Django.,Django,Beginner
Developed features using REST API in a small team.,REST API,Intermediate
Optimized performance-critical systems built with Java.,Java,Expert
Built and maintained mission-critical infrastructure with Go.,Go,Expert
Applied JavaScript to solve practical problems in coursework.,JavaScript,Intermediate
Some hands-on experience with PHP in small assignments.,PHP,Beginner
"Deep expertise in TypeScript, including advanced patterns and internals.",TypeScript,Expert
Can independently build features using Machine Learning with some guidance.,Machine Learning,Intermediate
Owned the technical roadmap for a major MongoDB migration.,MongoDB,Expert
Five years of professional experience with MongoDB.,MongoDB,Expert
Exposed to React during a university project.,React,Beginner
Following a beginner course on Flask right now.,Flask,Beginner
Exposed to Git during a university project.,Git,Beginner
Can independently build features using Go with some guidance.,Go,Intermediate
Familiar with Deep Learning through coursework.,Deep Learning,Beginner
Led a team building production systems with JavaScript.,JavaScript,Expert
Worked with React for several months on a team project.,React,Intermediate
Beginner-level knowledge of Redis.,Redis,Beginner
Owned the technical roadmap for a major Django migration.,Django,Expert
Currently learning Java as part of a bootcamp.,Java,Beginner
Currently learning Django as part of a bootcamp.,Django,Beginner
Used Linux to build a personal project.,Linux,Intermediate
Currently learning Docker as part of a bootcamp.,Docker,Beginner
Applied REST API to solve practical problems in coursework.,REST API,Intermediate
Optimized performance-critical systems built with Linux.,Linux,Expert
Only used AWS in a couple of homework assignments.,AWS,Beginner
Familiar with REST API through coursework.,REST API,Beginner
Used Git extensively during a semester-long project.,Git,Intermediate
Took an online tutorial on GraphQL.,GraphQL,Beginner
Developed features using Flask in a small team.,Flask,Intermediate
Wrote a few small scripts using Node.js.,Node.js,Beginner
Regularly use Flask for day-to-day development tasks.,Flask,Intermediate
Used Next.js extensively during a semester-long project.,Next.js,Intermediate
Studied the fundamentals of REST API in class.,REST API,Beginner
Have shipped a couple of side projects built with Python.,Python,Intermediate
Contributed to open-source projects related to Node.js.,Node.js,Expert
"New to PHP, still getting comfortable with the basics.",PHP,Beginner
Extensive production experience with Tailwind CSS at scale.,Tailwind CSS,Expert
Basic understanding of AWS.,AWS,Beginner
Built and maintained mission-critical infrastructure with AWS.,AWS,Expert
Can independently build features using Kubernetes with some guidance.,Kubernetes,Intermediate
Familiar with Git through coursework.,Git,Beginner
Designed the core architecture of a large-scale Tailwind CSS application.,Tailwind CSS,Expert
Can independently build features using Next.js with some guidance.,Next.js,Intermediate
Wrote a few small scripts using TensorFlow.,TensorFlow,Beginner
Mentored junior developers on best practices in Machine Learning.,Machine Learning,Expert
Led a team building production systems with TensorFlow.,TensorFlow,Expert
One year of experience working with Python.,Python,Intermediate
Built a full application using Next.js.,Next.js,Intermediate
Published technical talks on advanced CI/CD techniques.,CI/CD,Expert
Published technical talks on advanced Tailwind CSS techniques.,Tailwind CSS,Expert
Studied the fundamentals of PHP in class.,PHP,Beginner
Familiar with Java through coursework.,Java,Beginner
Five years of professional experience with TensorFlow.,TensorFlow,Expert
Started exploring Linux recently.,Linux,Beginner
Extensive production experience with GraphQL at scale.,GraphQL,Expert
Can independently build features using React with some guidance.,React,Intermediate
Comfortable writing Flask code for medium-sized applications.,Flask,Intermediate
Have read the documentation for MongoDB but limited practical use.,MongoDB,Beginner
Used PostgreSQL to build a personal project.,PostgreSQL,Intermediate
Published technical talks on advanced TensorFlow techniques.,TensorFlow,Expert
Took an online tutorial on TensorFlow.,TensorFlow,Beginner
Applied Linux to solve practical problems in coursework.,Linux,Intermediate
Only used Node.js in a couple of homework assignments.,Node.js,Beginner
Only used CI/CD in a couple of homework assignments.,CI/CD,Beginner
Optimized performance-critical systems built with NestJS.,NestJS,Expert
Worked with TypeScript for several months on a team project.,TypeScript,Intermediate
Beginner-level knowledge of CI/CD.,CI/CD,Beginner
Have read the documentation for PyTorch but limited practical use.,PyTorch,Beginner
Familiar with MongoDB through coursework.,MongoDB,Beginner
Following a beginner course on Python right now.,Python,Beginner
Took an online tutorial on JavaScript.,JavaScript,Beginner
Two years of hands-on experience with Tailwind CSS.,Tailwind CSS,Intermediate
Completed an introductory course in PyTorch.,PyTorch,Beginner
Used CI/CD extensively during a semester-long project.,CI/CD,Intermediate
Basic understanding of Go.,Go,Beginner
Have read the documentation for Java but limited practical use.,Java,Beginner
Recognized internally as the go-to expert on Git.,Git,Expert
Applied Node.js to solve practical problems in coursework.,Node.js,Intermediate
Have read the documentation for Machine Learning but limited practical use.,Machine Learning,Beginner
Designed the core architecture of a large-scale Redis application.,Redis,Expert
Exposed to Machine Learning during a university project.,Machine Learning,Beginner
Published technical talks on advanced Linux techniques.,Linux,Expert
Took an online tutorial on Kubernetes.,Kubernetes,Beginner
Completed an introductory course in Flask.,Flask,Beginner
Mentored junior developers on best practices in TensorFlow.,TensorFlow,Expert
"New to React, still getting comfortable with the basics.",React,Beginner
Recognized internally as the go-to expert on REST API.,REST API,Expert
Implemented core functionality with AWS in a group project.,AWS,Intermediate
Five years of professional experience with Machine Learning.,Machine Learning,Expert
Started exploring C++ recently.,C++,Beginner
Architected scalable solutions using JavaScript for enterprise clients.,JavaScript,Expert
Built a full application using Machine Learning.,Machine Learning,Intermediate
Led a team building production systems with C++.,C++,Expert
Used Flask extensively during a semester-long project.,Flask,Intermediate
Regularly use Machine Learning for day-to-day development tasks.,Machine Learning,Intermediate
Implemented core functionality with TensorFlow in a group project.,TensorFlow,Intermediate
